ADX_14;Fechamento_MACD_12:26;Fechamento_MACD_8:17;Fechamento_MTM_10
0.2624747104141076;0.1367692676703811;0.1387658499049671;4.7039740470397415
0.2378590347398398;0.1556310468428527;0.1551520983373944;4.792851340373678
0.2170968777269026;0.1702306621767775;0.1648721688995245;4.446240905416335
0.2078172940299792;0.1717519496766684;0.1564101888218445;3.2206119162640934
0.1998226072069338;0.1669979508699768;0.1411423954640476;2.487961476725511
0.1863224500555313;0.1565838730993238;0.120435219921438;2.500000000000004
0.1735746948100298;0.1514265880274781;0.1098121054740097;3.652597402597397
0.1616218783591676;0.1440648794781474;0.0975340978196808;1.4319809069212386
0.1522627707684201;0.1358576733525165;0.085526238260666;1.2718600953895085
0.1487705918088207;0.1214975246389116;0.0662238603370291;-1.4018691588785024
0.1511726081390731;0.1192324782734015;0.065688293862772;-0.9295120061967544
0.1563495937205303;0.1200876983095646;0.0692516480567277;-0.4651162790697712
0.1701220288435075;0.1050302482829721;0.0500052843377929;-2.012383900928791
0.172248615473898;0.0968224994141682;0.0421311246224647;-0.7800312012480471
0.1607583238869016;0.0892885366265137;0.0356469864335373;-0.3915426781519102
0.1548000711781716;0.0775820015051493;0.0236172862922678;-0.3933910306845059
0.1536362521639392;0.0739078554299972;0.0236062025823819;-0.2349256068911461
0.1501990375896997;0.0765687622859978;0.0319045594598783;0.5490196078431395
0.1392201182920253;0.0777809398751916;0.0368539281786421;0.6279434850863428
0.1267050549007075;0.0754510968764687;0.0360324070909214;1.0268562401263746
0.1171919999615654;0.0743613212828435;0.036796975052713;0.1563721657545062
0.1095663999666898;0.075850969113496;0.0408614424076958;0.077881619937693
0.1036718323520834;0.0729627905072565;0.0382180755813355;1.1848341232227515
0.1034679689908531;0.0706662084912039;0.0365580176376401;0.7861635220125759
0.1112912874111203;0.0600843714065426;0.0233965450435693;0.0
0.1153572109943995;0.0574908023531275;0.0226084517675584;1.10584518167457
0.1125952971475271;0.0540059171864601;0.0203942526689004;0.3924646781789555
