OutPut |T+1|;OutPut_class |T+1|
112.228;0
111.968;0
111.947;0
111.825;0
111.795;0
111.937;1
112.08;1
111.774;0
111.784;1
111.626;0
111.494;0
111.56;1
111.642;1
111.784;1
111.851;1
110.954;0
111.417;1
111.529;1
111.397;0
111.101;0
110.48;0
110.5;1
110.388;0
110.342;0
109.904;0
110.994;1
110.862;0
110.739;0
110.459;0
110.5;1
110.459;0
110.225;0
110.362;1
110.383;1
110.806;1
110.48;0
110.337;0
110.658;1
110.765;1
110.612;0
110.214;0
109.965;0
108.762;0
109.093;1
109.47;1
109.486;1
109.593;1
109.761;1
109.898;1
109.868;0
109.43;0
109.542;1
108.645;0
108.599;0
108.487;0
108.405;0
107.804;0
107.131;0
106.514;0
106.229;0
106.219;0
106.377;1
105.541;0
105.775;1
106.05;1
105.067;0
104.511;0
104.873;1
105.53;1
106.05;1
105.097;0
105.189;1
105.505;1
105.357;0
105.113;0
105.169;1
105.194;1
104.863;0
105.398;1
104.893;0
105.164;1
105.291;1
105.332;1
105.332;1
105.337;1
105.393;1
105.811;1
107.299;1
107.289;0
107.829;1
107.539;0
107.758;1
107.972;1
107.432;0
106.917;0
106.239;0
106.82;1
106.478;0
106.443;0
106.035;0
106.336;1
106.066;0
105.836;0
106.198;1
106.219;1
105.622;0
106.239;1
105.954;0
106.122;1
105.959;0
106.586;1
106.453;0
106.494;1
106.417;0
106.907;1
107.554;1
106.728;0
106.596;0
106.494;0
106.738;1
106.693;0
106.377;0
106.509;1
107.309;1
107.834;1
107.727;0
107.605;0
107.671;1
107.722;1
107.916;1
107.834;0
107.885;1
107.559;0
108.196;1
108.115;0
108.084;0
108.247;1
108.135;0
107.997;0
108.002;1
107.518;0
108.227;1
107.901;0
107.625;0
107.625;1
108.048;1
108.196;1
108.028;0
108.451;1
107.982;0
108.843;1
109.888;1
110.174;1
109.975;0
109.786;0
109.904;1
110.006;1
110.311;1
109.975;0
110.729;1
110.021;0
110.143;1
109.746;0
109.924;1
109.756;0
109.965;1
110.107;1
110.638;1
110.444;0
110.908;1
110.393;0
110.296;0
110.25;0
110.566;1
110.169;0
110.016;0
110.352;1
110.286;0
110.449;1
110.673;1
110.699;1
110.908;1
110.556;0
110.755;1
110.627;0
110.989;1
111.188;1
111.01;0
111.193;1
112.065;1
112.029;0
111.825;0
111.122;0
110.755;0
111.106;1
110.882;0
110.806;0
110.312;0
110.26;0
110.271;1
109.575;0
109.455;0
109.325;0
108.879;0
107.461;0
106.074;0
105.949;0
105.814;0
105.794;0
105.809;1
105.949;1
105.773;0
105.861;1
105.331;0
105.259;0
104.88;0
105.082;1
