OutPut |T+1|;OutPut_class |T+1|
13.4;0
13.41;1
13.41;1
13.42;1
13.41;0
13.41;1
13.4;0
13.42;1
13.41;0
13.42;1
13.4;0
13.43;1
13.42;0
13.4;0
13.38;0
13.41;1
13.4;0
13.37;0
13.38;1
13.39;1
13.41;1
13.44;1
13.4;0
13.38;0
13.4;1
13.45;1
13.48;1
13.47;0
13.43;0
13.43;1
13.42;0
13.41;0
13.37;0
13.4;1
13.33;0
13.32;0
13.31;0
13.29;0
13.28;0
13.28;1
13.3;1
13.34;1
13.31;0
13.34;1
13.35;1
13.38;1
13.35;0
13.37;1
13.37;1
13.36;0
13.35;0
13.32;0
13.33;1
13.35;1
13.38;1
13.36;0
13.32;0
13.36;1
13.36;1
13.33;0
13.35;1
13.38;1
13.4;1
13.37;0
13.33;0
13.34;1
13.32;0
13.31;0
13.3;0
13.3;1
13.29;0
13.29;1
13.32;1
13.38;1
13.37;0
13.35;0
13.35;1
13.36;1
13.38;1
13.34;0
13.33;0
13.31;0
13.28;0
13.3;1
13.29;0
13.29;1
13.32;1
13.37;1
13.39;1
13.36;0
13.36;1
13.4;1
13.4;1
13.41;1
13.44;1
13.41;0
13.4;0
13.37;0
13.35;0
13.29;0
13.22;0
13.28;1
13.33;1
13.35;1
13.35;1
13.35;1
13.32;0
13.31;0
13.36;1
13.32;0
13.32;1
13.28;0
13.31;1
13.32;1
13.32;1
13.31;0
13.33;1
13.41;1
13.36;0
13.35;0
13.27;0
13.35;1
13.37;1
13.33;0
13.35;1
13.34;0
13.36;1
13.35;0
13.36;1
13.34;0
13.33;0
13.35;1
13.34;0
13.34;1
13.31;0
13.27;0
13.29;1
13.31;1
13.34;1
13.33;0
13.34;1
13.32;0
13.31;0
13.31;1
13.35;1
13.32;0
13.3;0
13.32;1
13.31;0
13.28;0
13.27;0
13.25;0
13.27;1
13.28;1
13.3;1
13.3;1
13.3;1
13.31;1
13.3;0
13.32;1
13.33;1
13.31;0
13.32;1
13.31;0
13.33;1
13.32;0
13.3;0
13.34;1
13.35;1
13.37;1
13.38;1
13.38;1
13.37;0
13.38;1
13.35;0
13.36;1
13.37;1
13.41;1
13.41;1
13.4;0
13.43;1
13.41;0
13.4;0
13.38;0
13.38;1
13.39;1
13.4;1
13.36;0
13.33;0
13.33;1
13.34;1
13.36;1
13.34;0
13.3;0
13.28;0
13.26;0
13.26;1
13.2;0
13.13;0
13.06;0
13.12;1
13.23;1
13.3;1
13.29;0
13.31;1
13.3;0
13.12;0
13.15;1
13.17;1
13.18;1
13.16;0
13.18;1
13.17;0
13.22;1
13.25;1
13.31;1
13.27;0
13.21;0
13.22;1
13.22;1
13.22;1
13.22;1
13.2;0
13.18;0
13.21;1
13.21;1
13.16;0
13.1;0
13.14;1
13.14;1
13.13;0
13.17;1
13.19;1
13.2;1
13.22;1
13.22;1
13.27;1
13.26;0
13.23;0
13.22;0
13.24;1
13.25;1
13.24;0
13.25;1
13.23;0
13.23;1
13.28;1
13.28;1
13.3;1
13.31;1
13.3;0
13.33;1
13.31;0
13.33;1
13.3;0
13.31;1
13.31;1
13.32;1
13.34;1
13.33;0
13.33;1
13.32;0
13.28;0
13.28;1
13.29;1
13.32;1
13.3;0
13.3;1
13.4;1
13.43;1
13.46;1
13.25;0
13.34;1
13.34;1
13.37;1
13.45;1
13.45;1
13.47;1
13.51;1
13.49;0
13.56;1
13.62;1
13.63;1
13.57;0
13.51;0
13.46;0
13.32;0
13.26;0
13.22;0
13.28;1
13.24;0
13.26;1
13.28;1
13.29;1
13.31;1
13.19;0
13.19;1
13.19;1
13.19;1
13.2;1
13.19;0
13.2;1
13.17;0
13.17;1
13.18;1
13.17;0
13.15;0
13.15;1
13.18;1
