K%_8;Fechamento_TSI_13:25;R%_21;R%_14
0.533007334963326;0.8047414189694102;0.6588447653429598;0.5021834061135363
0.5305623471882644;0.7488262553947376;0.6498194945848376;0.5589519650655017
0.5281173594132029;0.7319870953805493;0.6299638989169676;0.532751091703056
0.5574572127139367;0.721598618086215;0.6083032490974729;0.5109170305676853
0.5403422982885088;0.7125706873845999;0.610108303249097;0.5065502183406104
0.49877750611247;0.6952256582641652;0.5974729241877258;0.5414847161572052
0.5574572127139367;0.6836221151438957;0.5252707581227435;0.4999999999999996
0.6308068459657706;0.6721180322836782;0.4981949458483755;0.4585152838427949
0.5281173594132038;0.6656029322744667;0.5722021660649814;0.4999999999999996
0.4278728606356977;0.6512337502029406;0.5974729241877251;0.5458515283842793
0.5256723716381414;0.63948604168028;0.5866425992779788;0.5480349344978167
0.5574572127139367;0.6262960670203939;0.5613718411552343;0.532751091703056
0.5452322738386317;0.6202170070244226;0.575812274368231;0.5196506550218336
0.5281173594132029;0.6260118675531124;0.575812274368231;0.5152838427947595
0.5232273838630808;0.6315938879301115;0.5848375451263539;0.576419213973799
0.5403422982885088;0.6387662122436547;0.564981949458484;0.5480349344978159
0.550122249388753;0.6182432870832832;0.564981949458484;0.5109170305676853
0.5354523227383866;0.6457201845584739;0.564981949458484;0.4978165938864629
0.5256723716381423;0.6609428330276977;0.5776173285198553;0.5131004366812221
0.4841075794621027;0.6766334346726797;0.5848375451263539;0.5502183406113534
0.4987775061124692;0.6840084762359665;0.5848375451263539;0.5458515283842793
0.5207823960880201;0.6874531139166639;0.6335740072202166;0.5611353711790391
0.5770171149144253;0.6866924739081557;0.5866425992779781;0.5109170305676853
0.606356968215159;0.6860767958021723;0.5397111913357402;0.4999999999999996
0.4229828850855746;0.688432601959589;0.6299638989169676;0.6179039301310038
0.5256723716381423;0.6925637281196455;0.6534296028880859;0.6484716157205235
0.5281173594132029;0.7011511739769543;0.6498194945848376;0.6069868995633187
0.5452322738386309;0.6990841026601056;0.6444043321299637;0.587336244541484
0.5427872860635703;0.7034410178365856;0.6444043321299637;0.56768558951965
0.5378973105134481;0.7394117253100844;0.6425992779783388;0.587336244541484
0.5207823960880192;0.7726799276215288;0.6570397111913355;0.6331877729257637
0.5158924205378972;0.8002599702895403;0.6606498194945846;0.5283842794759819
